Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
qtrimmed_MRF_V2_1_1_S41_L008.sort	51083310.0	0.0	51083310.0	1.0	25541655.0	25541655.0	15410918.0	13887880.0	35672392.0	12143536.0	51083310.0	0.0	1583083.0	0.0	0.0	7649529312.0	3828579090.0	3820950222.0	2307870387.0	2307870387.0	0.0	0.0	52348196.0	0.02268247	149.0	150.0	150.0	150.0	150.0	150.0	38.1	376.3	76.2	6748400.0	2665.0	373.0	192502.0	23.8	30.168205623323942	27.186726936841016	69.83179437667606	23.772022603860243	100.0	0.0	3.0990219701894803	0.0
qtrimmed_MRF_V2_1_2_S43_L008.sort	49252430.0	0.0	49252430.0	1.0	24626215.0	24626215.0	15398629.0	13810182.0	33853801.0	10817178.0	49252430.0	0.0	1513459.0	0.0	0.0	7372411108.0	3690910924.0	3681500184.0	2305260858.0	2305260858.0	0.0	0.0	52248388.0	0.02266485	149.0	150.0	149.0	150.0	150.0	150.0	37.8	395.3	83.1	6663827.0	2812.0	497.0	237955.0	22.0	31.26470917272508	28.039595203729036	68.73529082727492	21.9627295546636	100.0	0.0	3.072861582667089	0.0
qtrimmed_MRF_V2_1_3_S31_L008.sort	46923980.0	0.0	46923980.0	1.0	23461990.0	23461990.0	14604961.0	13272422.0	32319019.0	11825290.0	46923980.0	0.0	1371364.0	0.0	0.0	7027303937.0	3516856697.0	3510447240.0	2187373586.0	2187373586.0	0.0	0.0	46559496.0	0.02128557	149.0	150.0	150.0	150.0	150.0	150.0	38.3	373.3	74.6	6463766.0	3098.0	335.0	169012.0	25.2	31.12472769786365	28.284945138924705	68.87527230213635	25.200952689861346	100.0	0.0	2.922522769807676	0.0
qtrimmed_MRF_V2_2_1_S33_L008.sort	41791144.0	0.0	41791144.0	1.0	20895572.0	20895572.0	12257317.0	11127024.0	29533827.0	10109352.0	41791144.0	0.0	1189967.0	0.0	0.0	6259116564.0	3132013206.0	3127103358.0	1835882035.0	1835882035.0	0.0	0.0	39891326.0	0.0217287	149.0	150.0	150.0	150.0	150.0	150.0	38.4	366.8	74.1	5426015.0	4668.0	284.0	132545.0	24.2	29.32993889805936	26.62531564103629	70.67006110194065	24.190177708463782	100.0	0.0	2.8474142751392493	0.0
qtrimmed_MRF_V2_2_3_S35_L008.sort	48513572.0	0.0	48513572.0	1.0	24256786.0	24256786.0	14999422.0	13568180.0	33514150.0	11753734.0	48513572.0	0.0	1443998.0	0.0	0.0	7265122266.0	3635958455.0	3629163811.0	2246416510.0	2246416510.0	0.0	0.0	48739211.0	0.02169643	149.0	150.0	150.0	150.0	150.0	150.0	38.2	378.6	77.2	6592000.0	2975.0	401.0	188714.0	24.2	30.917991361262782	27.96780249452669	69.08200863873721	24.22772332657756	100.0	0.0	2.9764825397725816	0.0
qtrimmed_MRF_V2_3_3_S36_L008.sort	53055562.0	0.0	53055562.0	1.0	26527781.0	26527781.0	15103748.0	13596076.0	37951814.0	11978914.0	53055562.0	0.0	1556626.0	0.0	0.0	7945375928.0	3976361595.0	3969014333.0	2262039192.0	2262039192.0	0.0	0.0	51148135.0	0.02261152	149.0	150.0	150.0	150.0	150.0	150.0	38.3	376.1	75.7	6611669.0	3570.0	384.0	182415.0	22.6	28.46779381961876	25.626108719760616	71.53220618038124	22.578055058581796	100.0	0.0	2.933954408022292	0.0
qtrimmed_MRF_V5_1_1_S38_L008.sort	55810206.0	0.0	55810206.0	1.0	27905103.0	27905103.0	16940992.0	15352488.0	38869214.0	13276030.0	55810206.0	0.0	1586476.0	0.0	0.0	8357060531.0	4182828157.0	4174232374.0	2537007960.0	2537007960.0	0.0	0.0	54435109.0	0.02145642	149.0	150.0	150.0	150.0	150.0	150.0	38.2	379.7	77.5	7464380.0	4223.0	416.0	207225.0	23.8	30.35464875367061	27.50838798194008	69.64535124632938	23.78781759020922	100.0	0.0	2.8426270277518775	0.0
qtrimmed_MRF_V5_1_2_S40_L008.sort	54112708.0	0.0	54112708.0	1.0	27056354.0	27056354.0	17340141.0	15834378.0	36772567.0	14157858.0	54112708.0	0.0	1550241.0	0.0	0.0	8104074647.0	4055564630.0	4048510017.0	2597081528.0	2597081528.0	0.0	0.0	54346266.0	0.0209259	149.0	150.0	150.0	150.0	150.0	150.0	38.3	372.3	75.1	7719699.0	5266.0	366.0	191858.0	26.2	32.04448943859916	29.261847327988093	67.95551056140084	26.16364717877361	100.0	0.0	2.8648372208613178	0.0
qtrimmed_MRF_V5_2_2_S42_L008.sort	58201844.0	0.0	58201844.0	1.0	29100922.0	29100922.0	17445843.0	15861982.0	40756001.0	13719780.0	58201844.0	0.0	1585302.0	0.0	0.0	8716177048.0	4362100850.0	4354076198.0	2612844639.0	2612844639.0	0.0	0.0	54127366.0	0.02071588	149.0	150.0	150.0	150.0	150.0	150.0	38.3	379.1	77.1	7721135.0	3742.0	461.0	205653.0	23.6	29.974725543060117	27.25340111217095	70.02527445693988	23.57275827893013	100.0	0.0	2.723800297461366	0.0
qtrimmed_MRF_V5_2_3_S30_L008.sort	55467668.0	0.0	55467668.0	1.0	27733834.0	27733834.0	17792279.0	16124780.0	37675389.0	13552638.0	55467668.0	0.0	1621801.0	0.0	0.0	8304552269.0	4156620784.0	4147931485.0	2664090435.0	2664090435.0	0.0	0.0	57837114.0	0.02170989	149.0	150.0	150.0	150.0	150.0	150.0	37.9	386.7	77.9	7823611.0	2076.0	483.0	236220.0	24.4	32.07684700211301	29.07059298040076	67.92315299788699	24.4334014546997	100.0	0.0	2.923867287876606	0.0
