Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
qtrimmed_MRF_V2_1_1_S41_L008.sort	51083310.0	0.0	51083310.0	1.0	25541655.0	25541655.0	32779644.0	29966034.0	18303666.0	23876762.0	51083310.0	0.0	1781835.0	0.0	0.0	7649529312.0	3828579090.0	3820950222.0	4909243863.0	4909243863.0	0.0	0.0	91040343.0	0.01854468	149.0	150.0	150.0	150.0	150.0	150.0	38.1	362.0	72.3	12892679.0	9627.0	3109.0	2077602.0	46.7	64.16898983249128	58.66110477179337	35.83101016750872	46.74082787509267	100.0	0.0	3.488096209897127	0.0
qtrimmed_MRF_V2_1_2_S43_L008.sort	49252430.0	0.0	49252430.0	1.0	24626215.0	24626215.0	31952608.0	28969652.0	17299822.0	20419472.0	49252430.0	0.0	1713743.0	0.0	0.0	7372411108.0	3690910924.0	3681500184.0	4783732152.0	4783732152.0	0.0	0.0	89441879.0	0.01869709	149.0	150.0	149.0	150.0	150.0	150.0	37.8	374.3	78.8	11956570.0	9880.0	3748.0	2514628.0	41.5	64.8751909296658	58.818726304468626	35.124809070334194	41.45881127083476	100.0	0.0	3.4795095389202113	0.0
qtrimmed_MRF_V2_1_3_S31_L008.sort	46923980.0	0.0	46923980.0	1.0	23461990.0	23461990.0	30424332.0	27920572.0	16499648.0	22738974.0	46923980.0	0.0	1552599.0	0.0	0.0	7027303937.0	3516856697.0	3510447240.0	4556869085.0	4556869085.0	0.0	0.0	80873959.0	0.0177477	149.0	150.0	150.0	150.0	150.0	150.0	38.3	360.4	71.2	12135102.0	10043.0	2733.0	1812408.0	48.5	64.8374924718662	59.50171319653619	35.1625075281338	48.45917588405758	100.0	0.0	3.3087538610322484	0.0
qtrimmed_MRF_V2_2_1_S33_L008.sort	41791144.0	0.0	41791144.0	1.0	20895572.0	20895572.0	26252857.0	24077246.0	15538287.0	20056180.0	41791144.0	0.0	1362389.0	0.0	0.0	6259116564.0	3132013206.0	3127103358.0	3932329652.0	3932329652.0	0.0	0.0	70731196.0	0.0179871	149.0	150.0	150.0	150.0	150.0	150.0	38.4	354.8	71.0	10550722.0	12928.0	2364.0	1472609.0	48.0	62.81918724215829	57.61327328105686	37.18081275784171	47.991459625991574	100.0	0.0	3.2599945098416065	0.0
qtrimmed_MRF_V2_2_3_S35_L008.sort	48513572.0	0.0	48513572.0	1.0	24256786.0	24256786.0	31363524.0	28710936.0	17150048.0	22644024.0	48513572.0	0.0	1628445.0	0.0	0.0	7265122266.0	3635958455.0	3629163811.0	4697427973.0	4697427973.0	0.0	0.0	84380157.0	0.01796306	149.0	150.0	150.0	150.0	150.0	150.0	38.2	363.6	73.1	12322171.0	9525.0	3207.0	2020565.0	46.7	64.64896874631289	59.18124519876623	35.35103125368712	46.67564779604355	100.0	0.0	3.3566792401928267	0.0
qtrimmed_MRF_V2_3_3_S36_L008.sort	53055562.0	0.0	53055562.0	1.0	26527781.0	26527781.0	32438135.0	29467634.0	20617427.0	23636868.0	53055562.0	0.0	1833716.0	0.0	0.0	7945375928.0	3976361595.0	3969014333.0	4858432394.0	4858432394.0	0.0	0.0	91020703.0	0.01873458	149.0	150.0	150.0	150.0	150.0	150.0	38.3	362.1	72.0	12698653.0	11458.0	3363.0	2020343.0	44.6	61.139932887714956	55.5410835154286	38.86006711228504	44.5511594053042	100.0	0.0	3.4562182189305615	0.0
qtrimmed_MRF_V5_1_1_S38_L008.sort	55810206.0	0.0	55810206.0	1.0	27905103.0	27905103.0	35790007.0	32686452.0	20020199.0	25744334.0	55810206.0	0.0	1807068.0	0.0	0.0	8357060531.0	4182828157.0	4174232374.0	5360037316.0	5360037316.0	0.0	0.0	95411432.0	0.01780052	149.0	150.0	150.0	150.0	150.0	150.0	38.2	364.7	73.6	14035214.0	13065.0	3404.0	2291543.0	46.1	64.12806826048984	58.567158845462785	35.87193173951015	46.12836225689617	100.0	0.0	3.2378808994182893	0.0
qtrimmed_MRF_V5_1_2_S40_L008.sort	54112708.0	0.0	54112708.0	1.0	27056354.0	27056354.0	35553281.0	32749200.0	18559427.0	26822544.0	54112708.0	0.0	1751377.0	0.0	0.0	8104074647.0	4055564630.0	4048510017.0	5325183811.0	5325183811.0	0.0	0.0	93482753.0	0.01755484	149.0	150.0	150.0	150.0	150.0	150.0	38.3	359.7	71.9	14292624.0	14489.0	2995.0	2064492.0	49.6	65.70227644123815	60.52034948980931	34.29772355876183	49.56792034876539	100.0	0.0	3.2365354918109066	0.0
qtrimmed_MRF_V5_2_2_S42_L008.sort	58201844.0	0.0	58201844.0	1.0	29100922.0	29100922.0	36310474.0	33101760.0	21891370.0	26134858.0	58201844.0	0.0	1899667.0	0.0	0.0	8716177048.0	4362100850.0	4354076198.0	5438464088.0	5438464088.0	0.0	0.0	97321987.0	0.01789512	149.0	150.0	150.0	150.0	150.0	150.0	38.3	364.5	73.3	14259177.0	11969.0	3703.0	2276031.0	44.9	62.387153919040784	56.874074299089216	37.61284608095922	44.90383156932279	100.0	0.0	3.2639292322078317	0.0
qtrimmed_MRF_V5_2_3_S30_L008.sort	55467668.0	0.0	55467668.0	1.0	27733834.0	27733834.0	36305417.0	33192360.0	19162251.0	25309830.0	55467668.0	0.0	1820942.0	0.0	0.0	8304552269.0	4156620784.0	4147931485.0	5436394581.0	5436394581.0	0.0	0.0	98802367.0	0.01817425	149.0	150.0	150.0	150.0	150.0	150.0	37.9	370.3	73.8	14099075.0	8447.0	3583.0	2485075.0	45.6	65.4532961436201	59.84091489117588	34.5467038563799	45.62987937405264	100.0	0.0	3.282889051690437	0.0
qtrimmed_MRF_V5_3_1_S32_L008.sort	46698730.0	0.0	46698730.0	1.0	23349365.0	23349365.0	28961968.0	26347504.0	17736762.0	21149742.0	46698730.0	0.0	1607077.0	0.0	0.0	6992794861.0	3499627294.0	3493167567.0	4337416541.0	4337416541.0	0.0	0.0	80591469.0	0.01858052	149.0	150.0	150.0	150.0	150.0	150.0	38.1	365.1	71.0	11345199.0	11008.0	2926.0	1814619.0	45.3	62.01874868973953	56.420172454368675	37.981251310260475	45.28975841527168	100.0	0.0	3.4413719602224733	0.0
qtrimmed_MRF_V5_3_2_S34_L008.sort	40070944.0	0.0	40070944.0	1.0	20035472.0	20035472.0	25848845.0	23675246.0	14222099.0	19047738.0	40070944.0	0.0	1343984.0	0.0	0.0	6000976854.0	3003113992.0	2997862862.0	3871554492.0	3871554492.0	0.0	0.0	69409295.0	0.01792802	149.0	150.0	150.0	150.0	150.0	150.0	38.3	361.5	72.1	10232016.0	9224.0	2340.0	1594043.0	47.5	64.50770164037064	59.08332481510793	35.49229835962936	47.535036858627535	100.0	0.0	3.3540113255130697	0.0
qtrimmed_MRF_flow_1_1_S17_L007.sort	41286206.0	0.0	41286206.0	1.0	20643103.0	20643103.0	27352662.0	25107076.0	13933544.0	19844902.0	41286206.0	0.0	1332910.0	0.0	0.0	6181441760.0	3094287832.0	3087153928.0	4095962566.0	4095962566.0	0.0	0.0	74074414.0	0.01808474	149.0	150.0	150.0	150.0	150.0	150.0	38.0	366.8	73.0	10810011.0	9827.0	2475.0	1731225.0	48.1	66.25133343567583	60.81226257505957	33.74866656432417	48.066664202566834	100.0	0.0	3.2284632789944414	0.0
qtrimmed_MRF_flow_1_3_S19_L007.sort	27655880.0	0.0	27655880.0	1.0	13827940.0	13827940.0	18415080.0	16950488.0	9240800.0	13755848.0	27655880.0	0.0	895389.0	0.0	0.0	4141530155.0	2072774041.0	2068756114.0	2758075034.0	2758075034.0	0.0	0.0	49242263.0	0.01785385	149.0	150.0	150.0	150.0	150.0	150.0	38.2	361.0	71.8	7365315.0	6479.0	1540.0	1101910.0	49.7	66.58649082943663	61.29072009279762	33.413509170563366	49.739324874131654	100.0	0.0	3.2376080602027493	0.0
qtrimmed_MRF_flow_2_1_S21_L007.sort	41431928.0	0.0	41431928.0	1.0	20715964.0	20715964.0	27105934.0	24887740.0	14325994.0	19959440.0	41431928.0	0.0	1331330.0	0.0	0.0	6204703513.0	3105323151.0	3099380362.0	4059822116.0	4059822116.0	0.0	0.0	72706834.0	0.01790887	149.0	150.0	150.0	150.0	150.0	150.0	38.2	363.2	72.3	10765355.0	9091.0	2286.0	1667138.0	48.2	65.42281595005667	60.068988341551474	34.57718404994332	48.17405552548749	100.0	0.0	3.213294829050678	0.0
qtrimmed_MRF_flow_2_2_S23_L007.sort	45234040.0	0.0	45234040.0	1.0	22617020.0	22617020.0	29469906.0	27060710.0	15764134.0	21728256.0	45234040.0	0.0	1433730.0	0.0	0.0	6774146582.0	3390300993.0	3383845589.0	4413924833.0	4413924833.0	0.0	0.0	77669343.0	0.01759643	149.0	150.0	150.0	150.0	150.0	150.0	38.2	363.7	72.3	11722490.0	10169.0	2554.0	1795142.0	48.0	65.14984290591775	59.82377430802113	34.85015709408225	48.03518765955904	100.0	0.0	3.169582022742165	0.0
qtrimmed_MRF_flow_2_3_S25_L007.sort	36504902.0	0.0	36504902.0	1.0	18252451.0	18252451.0	24448071.0	22553654.0	12056831.0	18253560.0	36504902.0	0.0	1183071.0	0.0	0.0	5466089349.0	2735432627.0	2730656722.0	3661187231.0	3661187231.0	0.0	0.0	66490064.0	0.01816079	149.0	150.0	150.0	150.0	150.0	150.0	38.0	361.9	72.4	9798649.0	9648.0	2043.0	1466487.0	50.0	66.97202200405852	61.782535397574826	33.02797799594148	50.00303794816379	100.0	0.0	3.2408551596714323	0.0
qtrimmed_MRF_flow_3_2_S27_L007.sort	39071628.0	0.0	39071628.0	1.0	19535814.0	19535814.0	26147113.0	24016882.0	12924515.0	18996108.0	39071628.0	0.0	1368426.0	0.0	0.0	5850693695.0	2928300287.0	2922393408.0	3915921492.0	3915921492.0	0.0	0.0	71442289.0	0.01824406	149.0	150.0	150.0	150.0	150.0	150.0	38.2	364.0	72.8	10312873.0	9169.0	2503.0	1683896.0	48.6	66.92097140154999	61.46885407488012	33.07902859845001	48.618675423506794	100.0	0.0	3.5023521415590877	0.0
